municipio;uf;nome.municipio.sub;uf.sub
MACHADINHO DO OESTE;RO;MACHADINHO D'OESTE;RO
NOVA BRASILÂNDIA;RO;NOVA BRASILÂNDIA D'OESTE;RO
SANTA LUZIA DO OESTE;RO;SANTA LUZIA D'OESTE;RO
SÃO FELIPE DO OESTE;RO;SÃO FELIPE D'OESTE;RO
AMAJARÍ;RR;AMAJARI;RR
SÃO JOÃO DO BALIZA;RR;SÃO JOÃO DA BALIZA;RR
SÃO LUIZ DO ANAUÁ;RR;SÃO LUIZ;RR
CANGUÇÚ;RS;CANGUÇU;RS
ENTRE IJUÍS;RS;ENTRE-IJUÍS;RS
MAÇAMBARA;RS;MAÇAMBARÁ;RS
NOVO XINGÚ;RS;NOVO XINGU;RS
PÂNTANO GRANDE;RS;PANTANO GRANDE;RS
SANTANA DO LIVRAMENTO;RS;SANT'ANA DO LIVRAMENTO;RS
SINIMBÚ;RS;SINIMBU;RS
TAQUARUÇÚ DO SUL;RS;TAQUARUÇU DO SUL;RS
GRÃO-PARÁ;SC;GRÃO PARÁ;SC
LAURO MÜLLER;SC;LAURO MULLER;SC
LUÍS ALVES;SC;LUIZ ALVES;SC
PRESIDENTE CASTELO BRANCO;SC;PRESIDENTE CASTELLO BRANCO;SC
SÃO CRISTÓVÃO DO SUL;SC;SÃO CRISTOVÃO DO SUL;SC
AMPARO DO SÃO FRANCISCO;SE;AMPARO DE SÃO FRANCISCO;SE
CANINDÉ DO SÃO FRANCISCO;SE;CANINDÉ DE SÃO FRANCISCO;SE
GRACCHO CARDOSO;SE;GRACHO CARDOSO;SE
ARCO ÍRIS;SP;ARCO-ÍRIS;SP
BADY BASSIT;SP;BADY BASSITT;SP
BIRITIBA MIRIM;SP;BIRITIBA-MIRIM;SP
EMBU;SP;EMBU DAS ARTES;SP
IPAUÇU;SP;IPAUSSU;SP
LUISIÂNIA;SP;LUIZIÂNIA;SP
MOJI-GUACU;SP;MOGI GUAÇU;SP
MOJI-MIRIM;SP;MOGI MIRIM;SP
SANTO ANTÔNIO DA POSSE;SP;SANTO ANTÔNIO DE POSSE;SP
SUD MENUCCI;SP;SUD MENNUCCI;SP
TARABAÍ;SP;TARABAI;SP
BANDEIRANTE DO TOCANTINS;TO;BANDEIRANTES DO TOCANTINS;TO
COUTO DE MAGALHÃES;TO;COUTO MAGALHÃES;TO
MONTE SANTO;TO;MONTE SANTO DO TOCANTINS;TO
SÃO VALÉRIO DO TOCANTINS;TO;SÃO VALÉRIO;TO
